mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,accuracy,recall,precision,f1
0.08405685424804688,0.009351164074468583,0.01644473075866699,0.0004106640371066091,0.5,2,scale,poly,"{'C': 0.5, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",,,,,,,,0.632,0.5812876575367696,0.632,0.5912183348477843
0.03685073852539063,0.005842782347208309,0.005409622192382812,0.006573634307303902,10,3,0.01,rbf,"{'C': 10, 'degree': 3, 'gamma': 0.01, 'kernel': 'rbf'}",,,,,,,,0.44,0.3777462046465125,0.44,0.31058135324325337
0.02452507019042969,0.005675308790909233,0.007336044311523437,0.007320476729661891,10,3,0.01,linear,"{'C': 10, 'degree': 3, 'gamma': 0.01, 'kernel': 'linear'}",,,,,,,,1.0,1.0,1.0,1.0
0.03127665519714355,0.0018311204401767144,0.008550548553466797,0.007337730379998654,10,3,0.001,poly,"{'C': 10, 'degree': 3, 'gamma': 0.001, 'kernel': 'poly'}",,,,,,,,0.3973333333333333,0.3333333333333333,0.3973333333333333,0.22596437659033078
0.03539066314697266,0.006572199214279652,0.007859182357788087,0.007413370114392009,10,3,0.001,rbf,"{'C': 10, 'degree': 3, 'gamma': 0.001, 'kernel': 'rbf'}",,,,,,,,0.3973333333333333,0.3333333333333333,0.3973333333333333,0.22596437659033078
0.025244998931884765,0.0056079374984355996,0.006453275680541992,0.007903766825399436,10,3,0.001,linear,"{'C': 10, 'degree': 3, 'gamma': 0.001, 'kernel': 'linear'}",,,,,,,,1.0,1.0,1.0,1.0
0.03441109657287598,0.003969942122472157,0.0,0.0,10,4,scale,poly,"{'C': 10, 'degree': 4, 'gamma': 'scale', 'kernel': 'poly'}",,,,,,,,0.9973333333333333,0.997289972899729,0.9973333333333333,0.9973323504652696
0.029913711547851562,0.005445882685924746,0.003177309036254883,0.006354618072509766,10,4,scale,rbf,"{'C': 10, 'degree': 4, 'gamma': 'scale', 'kernel': 'rbf'}",,,,,,,,1.0,1.0,1.0,1.0
0.029737186431884766,0.007389734882937656,0.0,0.0,10,4,scale,linear,"{'C': 10, 'degree': 4, 'gamma': 'scale', 'kernel': 'linear'}",,,,,,,,1.0,1.0,1.0,1.0
0.021820831298828124,0.005570528403148158,0.013615655899047851,0.006918219653450363,10,3,0.01,poly,"{'C': 10, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}",,,,,,,,0.3973333333333333,0.3333333333333333,0.3973333333333333,0.22596437659033078
0.030266475677490235,0.004164548835386591,0.002100563049316406,0.0025726586340250068,10,4,1,poly,"{'C': 10, 'degree': 4, 'gamma': 1, 'kernel': 'poly'}",,,,,,,,0.9973333333333333,0.997289972899729,0.9973333333333333,0.9973323504652696
0.0275970458984375,0.006513159624551361,0.003215503692626953,0.006431007385253905,10,4,1,linear,"{'C': 10, 'degree': 4, 'gamma': 1, 'kernel': 'linear'}",,,,,,,,1.0,1.0,1.0,1.0
0.03300862312316895,0.0008911501889268987,0.006690502166748047,0.008210087025509936,10,4,0.1,poly,"{'C': 10, 'degree': 4, 'gamma': 0.1, 'kernel': 'poly'}",,,,,,,,0.3973333333333333,0.3333333333333333,0.3973333333333333,0.22596437659033078
0.03424482345581055,0.006075920147484787,0.0017947673797607422,0.003111292682610731,10,4,0.1,rbf,"{'C': 10, 'degree': 4, 'gamma': 0.1, 'kernel': 'rbf'}",,,,,,,,0.9946666666666667,0.9935275080906149,0.9946666666666667,0.9946583006535947
0.03130664825439453,0.003972895633162948,0.0032128334045410157,0.006425666809082032,10,4,0.1,linear,"{'C': 10, 'degree': 4, 'gamma': 0.1, 'kernel': 'linear'}",,,,,,,,1.0,1.0,1.0,1.0
0.03252677917480469,0.003987601472050008,0.006410741806030273,0.007851589149703912,10,4,0.01,poly,"{'C': 10, 'degree': 4, 'gamma': 0.01, 'kernel': 'poly'}",,,,,,,,0.3973333333333333,0.3333333333333333,0.3973333333333333,0.22596437659033078
